Locality,Unit,Sample,Type,Composition,Zircon,CA Temp,CA Duration (hrs),Notes,age68,2s_68,638 Rel. Unc (permille),76 Age (Ma),76 Age_unc (Ma),76 Rel. Unc (permille),Age_synth (Ma),Unc_synth (permille),U (ppm),Th/U,Pb* (pg),Pbc (pg),Pb*/Pbc,U (ng),U (pg),Lab,YearÊ,Reference,DOI,StudyID,1000,Unnamed: 30,Unnamed: 31,NormalizedAge
Agua de Dionisio,220m,SR73,Volcanic,Andesite/Dacite,SR73_z27,180,Dec.15,,7.048,0.02,2.84,,,,7.048,2.837684449,,0.56,1.34,0.11,11.71,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2.0, ,,,0.0
Agua de Dionisio,220m,SR73,Volcanic,Andesite/Dacite,SR73_z08,180,Dec.15,,7.052,0.021,2.98,,,,7.052,2.977878616,,0.56,0.94,0.09,10.05,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2.0, ,,,0.030075187969921497
Agua de Dionisio,220m,SR73,Volcanic,Andesite/Dacite,SR73_z58,180,Dec.15,,7.063,0.015,2.12,,,,7.063,2.123743452,,0.51,1.55,0.13,11.86,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2.0, ,,,0.11278195488721564
Agua de Dionisio,220m,SR73,Volcanic,Andesite/Dacite,SR73_z57,180,Dec.15,,7.081,0.013,1.84,,,,7.081,1.835898884,,0.64,2.6,0.09,30.27,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2.0, ,,,0.2481203007518824
Agua de Dionisio,220m,SR73,Volcanic,Andesite/Dacite,SR73_z40,180,Dec.15,,7.098,0.012,1.69,,,,7.098,1.690617075,,0.55,3.11,0.09,36.19,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2.0, ,,,0.3759398496240588
Agua de Dionisio,220m,SR73,Volcanic,Andesite/Dacite,SR73_z65,180,Dec.15,,7.103,0.013,1.83,,,,7.103,1.830212586,,0.55,3.65,0.12,29.99,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2.0, ,,,0.41353383458646403
Agua de Dionisio,220m,SR73,Volcanic,Andesite/Dacite,SR73_z26,180,Dec.15,,7.109,0.011,1.55,,,,7.109,1.547334365,,0.56,1.33,0.11,11.79,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2.0, ,,,0.4586466165413529
Agua de Dionisio,220m,SR73,Volcanic,Andesite/Dacite,SR73_z70,180,Dec.15,,7.134,0.012,1.68,,,,7.134,1.682085786,,0.51,1.68,0.09,18.18,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2.0, ,,,0.6466165413533856
Agua de Dionisio,220m,SR73,Volcanic,Andesite/Dacite,SR73_z41,180,Dec.15,,7.135,0.013,1.82,,,,7.135,1.822004205,,0.52,1.89,0.1,19.63,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2.0, ,,,0.6541353383458627
Agua de Dionisio,220m,SR73,Volcanic,Andesite/Dacite,SR73_z38,180,Dec.15,,7.181,0.019,2.65,,,,7.181,2.645871049,,0.79,2.75,0.82,3.36,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2.0, ,,,1.0
Adamello,Adamello2,AD5,Plutonic,Tonalite,z11,180,12,,41.85,0.06,1.43,,,,41.85,1.433691756,,0.91,3.91,1.15,3.4,,,UG,2012,Schoene et al. (2012),https://doi.org/10.1016/j.epsl.2012.08.019,24.0, ,,,0.0
